id,lat,lng,artdtsch,gattungdeutsch,strname,hausnr,standortnr,pflanzjahr,standalter,bezirk,zeit,wassermenge,wassersumme
_6m6lnu9sd,13.34123,52.5303,Baum-Hasel,HASEL,Wilhelmshavener Straße,57,220720,1993.0,26,Mitte,2020-05-21 13:28:29.633449+00,50,350
_6mahehr2m,13.29525,52.43816999999999,Gemeine Rosskastanie,ROSSKASTANIE,Friedrichstraße,undefined,001403,1940.0,79,Steglitz-Zehlendorf,2020-05-23 12:05:21.984309+00,5,5
_6mu3yc8cc,13.373470000000001,52.553219999999996,Spitz-Ahorn 'Schwedleri',AHORN,Gottschedstraße,13,369500,1959.0,60,Mitte,2020-09-18 14:04:30.843258+00,50,300
_6ngiz7qel,13.304329999999998,52.43416,Gemeine Rosskastanie,ROSSKASTANIE,Weddigenweg,ggü 69,004742,1995.0,24,Steglitz-Zehlendorf,2020-08-10 19:38:18.542421+00,50,110
_6nho2m4pv,13.436679999999999,52.497690000000006,Spitz-Ahorn,AHORN,Görlitzer Straße,undefined,01596,1933.0,86,Friedrichshain-Kreuzberg,2020-07-11 20:32:43.186142+00,50,50
_6o52yjo7y,13.55456,52.44095,Krim-Linde,LINDE,Waldstraße,undefined,070944,1957.0,62,Treptow-Köpenick,2020-06-12 05:45:57.825208+00,25,175
_6oki9xi8l,13.437320000000001,52.48696999999999,Winter-Linde,LINDE,Ossastraße,41,3346,1985.0,34,Neukölln,2020-06-17 16:30:18.289638+00,50,50
_6ophwgfb4,13.408489999999999,52.53029,Säulenzierkirsche,undefined,Lottumstraße,undefined,41828,1997.0,22,Pankow,2020-05-19 18:28:40.90394+00,50,195
_6oq1nw78e,13.36312,52.48141999999999,Winter-Linde,LINDE,Leuthener Platz,10,17701,1972.0,47,Tempelhof-Schöneberg,2020-08-11 18:55:08.427897+00,10,20
_6outw4r7v,13.342239999999999,52.41956,Winter-Linde,LINDE,Apoldaer Straße,23-25,323,1985.0,34,Steglitz-Zehlendorf,2020-08-15 10:46:32.613533+00,10,10
_6ovcckn01,13.63277,52.45534,Spitz-Ahorn 'Deborah',AHORN,Hartlebenstraße,undefined,110314,2005.0,14,Treptow-Köpenick,2020-08-11 18:56:33.927311+00,50,75
_6poglr5pa,13.253260000000001,52.52101,Winter-Linde,LINDE,Westendallee,76,04813,1955.0,64,Charlottenburg-Wilmersdorf,2020-06-29 17:26:32.868093+00,50,100
_6q2jctem5,13.325479999999999,52.46975,Krim-Linde,LINDE,Goßlerstraße,23,17680,1970.0,49,Tempelhof-Schöneberg,2020-06-07 05:42:28.665346+00,25,25
_6rakg2nsx,13.46681,52.517419999999994,Linde,LINDE,undefined,undefined,60363,1998.0,21,Friedrichshain-Kreuzberg,2020-07-25 13:10:16.999597+00,25,400
_6rk7fh90b,13.369079999999999,52.490230000000004,Sommer-Linde,LINDE,Hochkirchstraße,12,17678,1965.0,54,Tempelhof-Schöneberg,2020-06-01 20:09:41.729416+00,25,50
_6s3jn17qx,13.340879999999999,52.4815,Japanische Zierkirsche 'Kanzan',undefined,Nymphenburger Straße,2,17708,1975.0,44,Tempelhof-Schöneberg,2020-05-22 15:23:28.144729+00,50,100
_6sj03tt3u,13.52757,52.48415,Kaiser-Linde,LINDE,Weseler Straße,undefined,31SB41,2007.0,12,Lichtenberg,2020-05-31 22:12:10.083354+00,50,520
_6sl2mfbpu,13.29831,52.496430000000004,Holländische Linde,LINDE,Johann-Georg-Straße,5,02249,1965.0,54,Charlottenburg-Wilmersdorf,2020-08-18 09:57:02.901124+00,5,5
_6smd83ikm,13.36253,52.480059999999995,Baum-Hasel,HASEL,Gustav-Müller-Straße,32,17682,2011.0,8,Tempelhof-Schöneberg,2020-05-21 11:54:15.591646+00,25,25
_6t1x71tcl,13.324670000000001,52.46801,Spitz-Ahorn,AHORN,Blankenbergstraße,4,17643,1997.0,22,Tempelhof-Schöneberg,2020-06-07 10:41:58.066417+00,10,20
_6t2cfepgb,13.40184,52.53825,Vogelbeere,MEHLBEERE,Rheinsberger Straße,25,189400,1995.0,24,Mitte,2020-08-14 15:54:44.69268+00,50,125
